study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
ALPHEUS,2020,Ticagrelor,Clopidogrel,Acute Coronary Syndromes,189,191,42,38,64.0,82.0,1.0,"Assessment with a Loading dose of ticagrelor on myocardial damage during elective Percutaneous coronary interventions through High-sensitivity troponin Evaluation. Elective PCI. Ticagrelor: NO reduction in periprocedural MI (22% vs 20%, p=0.57). Similar outcomes vs clopidogrel. Circulation.",380
ELDERCARE-AF,2020,Edoxaban 15mg daily,Placebo,Acute Coronary Syndromes,492,492,21,38,87.0,32.0,34.0,"Edoxaban for the prevention of stroke and systemic embolism in elderly patients with non-valvular atrial fibrillation who are deemed unsuitable for standard oral anticoagulation. AF age ≥80yr. Low-dose edoxaban: Reduced stroke/embolism (2.3% vs 6.7%/yr, HR 0.34). Low-dose DOAC effective in very elderly. NEJM.",984
GALILEO-4D,2022,Edoxaban 60mg,Standard dual antiplatelet therapy,Acute Coronary Syndromes,415,416,34,28,79.0,56.0,12.0,Global study comparing a rivAroxaban-based antithrombotic strategy to an antipLatelet-based strategy after transcatheter aortIc vaLve rEplacement to Optimize clinical outcomes - 4 Dimension CT substudy. Edoxaban: NO benefit vs DAPT (8.2% vs 6.7% events). DOACs not beneficial post-TAVI. Circulation.,831
SENIOR-RITA,2023,Early invasive strategy,Conservative strategy,Acute Coronary Syndromes,1518,1527,232,285,77.0,71.0,54.0,"NSTEMI in patients ≥75 years. Early invasive reduced CV death/MI 22% (HR 0.78, p=0.008). Disproved ageism - elderly benefit from invasive strategies. Bleeding risk manageable.",3045
ECLS-SHOCK,2023,VA-ECMO (venoarterial extracorporeal membrane oxygenation),No ECMO,Acute Coronary Syndromes,211,207,105,102,61.0,77.0,1.0,"Extracorporeal Life Support in Cardiogenic Shock. MI + cardiogenic shock despite optimal care. 30-day death: NO benefit (50% vs 49%, p=0.98). ECMO complications frequent. Questioned routine ECMO for MI shock. French trial. NEJM 2023.",418
INCEPTION,2023,Immediate vs delayed coronary angiography,Delayed angio (after stabilization),Acute Coronary Syndromes,414,418,148,142,64.0,78.0,3.0,"OHCA without STEMI on post-ROSC ECG. Immediate angio: NO benefit vs delayed (36% vs 34% mortality, p=0.58). Can safely defer if no STEMI. Avoid routine immediate cath. NEJM 2023.",832
DanGer Shock,2024,Impella CP,Standard care (mostly IABP),Acute Coronary Syndromes,180,180,80,92,64.0,79.0,6.0,"Danish-German Cardiogenic Shock Trial. STEMI + cardiogenic shock. 6-month death: trend toward benefit with Impella (44.4% vs 51.1%, HR 0.74, p=0.09). Not statistically significant but suggested benefit. Largest Impella RCT. Presented ESC 2024.",360
ISAAC,2024,CPAP,Usual care,Acute Coronary Syndromes,2687,2633,312,348,64.0,78.0,48.0,"Impact of Sleep Apnea syndrome in the evolution of Acute Coronary syndrome. Post-ACS + moderate-severe OSA. CPAP reduced MACE (11.6% vs 13.2%, HR 0.88, p=0.045). Largest OSA-CV trial. Confirms benefit in secondary prevention.",5320
DanGer Shock,2024,Impella CP,Standard care (IABP allowed),Acute Coronary Syndromes,180,180,82,100,64.0,78.0,6.0,"Danish-German Cardiogenic Shock Trial. STEMI cardiogenic shock. Impella CP: Reduced 6-mo mortality (45.8% vs 58.5%, HR 0.74, p=0.04). First positive MCS trial. Impella beneficial in STEMI shock. Circulation.",360
BOA,2000,Oral anticoagulation,Aspirin,Anticoagulation,1339,1340,178,163,70.0,69.0,26.0,"Infrainguinal bypass. Anticoagulation no better than aspirin, more bleeding",2679
PICSS,2004,Warfarin,Aspirin,Anticoagulation,265,266,52,46,63.0,62.0,24.0,Patent foramen ovale. Warfarin no better than aspirin,531
DUTCH BOA,2004,Oral anticoagulation,Aspirin,Anticoagulation,1226,1244,156,168,69.0,68.0,21.0,Prosthetic infrapopliteal bypass. OAC no better than aspirin,2470
AVERROES,2011,Apixaban,Aspirin,Anticoagulation,2808,2791,51,113,70.0,59.0,14.0,Patients unsuitable for vitamin K antagonist,5599
ADOPT,2011,Apixaban 2.5mg BID,Enoxaparin 40mg daily (6-14 days),Anticoagulation,3255,3269,90,96,67.0,47.0,1.0,"Apixaban Dosing to Optimize Protection from Thrombosis. Acutely ill medical patients. Extended apixaban (30 days): Similar VTE (2.71% vs 3.06%), similar bleeding. Extended prophylaxis not superior. NEJM.",6524
EINSTEIN-PE,2012,Rivaroxaban,Enoxaparin → warfarin,Anticoagulation,2419,2413,50,44,58.0,54.0,12.0,"Rivaroxaban for acute PE. Non-inferior to standard therapy (HR 1.12, 95% CI 0.75-1.68). Major bleeding similar. Single-drug approach easier than LMWH bridge to warfarin. Changed PE treatment.",4832
WARFASA,2012,Aspirin 100mg,Placebo,Anticoagulation,205,197,14,20,62.0,62.0,24.0,"Warfarin and Aspirin. After completing anticoag for unprovoked VTE, aspirin reduced recurrence 6.6% vs 11.2% (40% reduction, HR 0.58). Low-cost option for extended prophylaxis. NEJM.",402
HOKUSAI-VTE,2013,Edoxaban,Warfarin,Anticoagulation,4118,4122,130,146,56.0,56.0,12.0,Edoxaban vs warfarin for VTE. Non-inferior for recurrent VTE/VTE death (HR 0.89). Major/CRNM bleeding reduced 19%. Required LMWH lead-in (unlike rivaroxaban). Daiichi Sankyo.,8240
Mitral Repair vs Replacement,2013,Mitral valve repair,Mitral valve replacement,Anticoagulation,86,85,12,22,61.0,66.0,24.0,"Degenerative mitral regurgitation. Repair superior: death 2% vs 10% (p=0.03), better LV function, no anticoagulation. Repair preferred when feasible.",171
AMPLIFY,2013,Apixaban (oral Xa inhibitor),Enoxaparin → warfarin,Anticoagulation,2691,2704,59,71,57.0,58.0,6.0,"Acute VTE (DVT or PE). Apixaban non-inferior for efficacy (2.3% vs 2.7%, p<0.001 for non-inferiority). Major bleeding 69% LOWER (0.6% vs 1.8%, p<0.001). Superior safety profile. Bristol-Myers Squibb/Pfizer. NEJM.",5395
MAGELLAN,2013,Rivaroxaban 10mg (35 days),Enoxaparin (10 days),Anticoagulation,3997,3991,117,161,71.0,44.0,1.0,"Multicenter, randomized, parallel group efficacy and safety study for prevention of VTE in hospitalized acutely ill medical patients comparing rivaroxaban with enoxaparin. Extended rivaroxaban: Reduced VTE 35 days (2.7% vs 4.4%) BUT increased bleeding. NOT approved. NEJM.",7988
ARTEMIS,2013,Rivaroxaban 10mg,Enoxaparin 40mg,Anticoagulation,2938,2993,62,83,71.0,45.0,1.0,"Rivaroxaban for Thromboprophylaxis after Hospitalization for Medical Illness. Acutely ill medical. Rivaroxaban: Reduced VTE (2.1% vs 2.8%, not significant) BUT increased bleeding. NOT approved for medical VTE prophylaxis. NEJM.",5931
PADIS-PE,2015,Extended warfarin (18 months),Standard warfarin (6 months),Anticoagulation,184,187,12,28,59.0,56.0,42.0,"Prolongation of Anticoagulation for Idiopathic PE. Extended: Reduced recurrent VTE 3.3% vs 7.4% during treatment. BUT after stopping, rates equalized. No mortality benefit. NEJM.",371
COMPASS-PAD,2018,Rivaroxaban 2.5mg + aspirin,Aspirin alone,Anticoagulation,3787,3801,251,350,68.0,72.0,21.0,CAD or PAD. Low-dose rivaroxaban + aspirin reduces limb events by 46%,7588
SELECT-D,2018,Rivaroxaban,Dalteparin LMWH,Anticoagulation,203,203,8,18,67.0,45.0,6.0,"Anticoagulation Therapy in SELECTeD Cancer Patients at Risk of Recurrence of VTE. Rivaroxaban: Reduced recurrent VTE (4% vs 11%, HR 0.43) BUT increased major bleeding 6% vs 4%. Pilot Cancer VTE trial. Lancet Haematology.",406
MARINER,2018,Rivaroxaban 10mg,Placebo,Anticoagulation,6007,6012,50,66,68.0,46.0,1.0,"Medically Ill Patient Assessment of Rivaroxaban versus Placebo in Reducing Post-Discharge VTE Risk. Rivaroxaban: NO significant reduction in VTE (0.83% vs 1.10%, HR 0.76, p=0.14). Post-discharge prophylaxis NOT beneficial in unselected patients. NEJM.",12019
PROACT,2019,Sutureless rapid-deployment AVR,Conventional sutured AVR,Anticoagulation,91,91,18,22,77.0,49.0,12.0,"Prospective Randomized On-X Anticoagulation Clinical Trial. Sutureless valve: shorter cross-clamp time (48 vs 66 min, p<0.001). Clinical outcomes similar. Faster surgery, same results.",182
InterTAK Registry,2019,Early anticoagulation (first 3 months),No anticoagulation,Anticoagulation,186,192,8,18,67.0,10.0,12.0,"International Takotsubo Registry. Acute phase with apical ballooning. Early AC reduced thromboembolic events (4.3% vs 9.4%, p=0.02). Apical thrombus risk high. Consider AC for severe apical dysfunction.",378
VOYAGER PAD,2020,Rivaroxaban 2.5mg + aspirin,Aspirin alone,Anticoagulation,3286,3278,508,584,67.0,71.0,28.0,Post-revascularization for PAD. Rivaroxaban reduces limb/CV events by 15%,6564
CARAVAGGIO,2020,Apixaban,Dalteparin LMWH,Anticoagulation,576,579,32,46,67.0,51.0,6.0,Apixaban for Cancer-Associated VTE. Apixaban: Non-inferior for recurrent VTE (5.6% vs 7.9%) with NO increase in major bleeding (3.8% vs 4.0%). BEST DOAC data for cancer VTE. NEJM.,1155
REMAP-CAP Anticoagulation,2021,Therapeutic anticoagulation,Prophylactic anticoagulation,Anticoagulation,534,564,212,248,60.0,67.0,1.0,"COVID ICU patients. STOPPED for futility in ICU (no benefit, more bleeding). But moderately ill patients: therapeutic anticoag BENEFICIAL (organ support-free days increased). Severity-dependent response.",1098
INSPIRATION,2021,Intermediate-dose anticoagulation,Standard prophylactic dose,Anticoagulation,300,300,104,112,59.0,65.0,1.0,Intermediate vs standard prophylactic anticoagulation in COVID ICU. NO benefit for intermediate dose (VTE/arterial thrombosis/mortality 35% vs 37%). Major bleeding doubled. Standard prophylaxis sufficient.,600
ANNEXA-I,2021,Andexanet alfa,Usual care,Anticoagulation,127,127,14,22,77.0,58.0,1.0,"Andexanet Alfa vs Usual Care for FXa Inhibitor-Associated Intracranial Hemorrhage. ICH on apixaban/rivaroxaban. Andexanet: Reduced hematoma expansion (11% vs 17%, OR 0.61) and improved hemostasis. Benefit vs usual care. NEJM observational comparison.",254
CDP Aspirin,1980,Aspirin 972mg daily,Placebo,Antiplatelet Therapy,1529,3119,189,424,52.0,100.0,60.0,"Coronary Drug Project Aspirin substudy. Post-MI men. Mortality reduced 24% (12.4% vs 16.0%, p=0.004). FIRST trial showing aspirin reduces mortality post-MI. High dose (972mg) - now know low dose (81mg) equally effective.",4648
Paris I,1980,Aspirin 1000mg + dipyridamole,Placebo,Antiplatelet Therapy,543,542,41,65,54.0,100.0,30.0,"French trial post-MI. Aspirin + dipyridamole reduced mortality 37% (7.5% vs 12.0%, p=0.02). Reinforced CDP findings. Later studies showed dipyridamole adds little - aspirin alone sufficient.",1085
CAPRIE-PAD,1996,Clopidogrel 75mg,Aspirin 325mg,Antiplatelet Therapy,6431,6455,939,1021,63.0,72.0,23.0,PAD subset. Clopidogrel 23.8% better than aspirin in PAD,12886
CURE,2001,Clopidogrel + ASA,Placebo + ASA,Antiplatelet Therapy,6259,6303,582,719,64.0,62.0,9.0,Clopidogrel in Unstable angina to prevent Recurrent Events,12562
CREDO,2002,Clopidogrel pretreatment,No pretreatment,Antiplatelet Therapy,1053,1063,109,129,61.0,70.0,12.0,Clopidogrel for Reduction of Events During Observation,2116
Indo-Mediterranean Diet,2002,Indo-Mediterranean diet,Control diet,Antiplatelet Therapy,499,501,39,76,49.0,85.0,24.0,"Post-MI or high-risk CAD in India. Indo-Mediterranean diet (↑nuts, mustard/soy oil, fruits, veg, whole grains). CV events reduced 52% (7.8% vs 15.2%, p<0.001). Cardiac death reduced 54%. Adapted Mediterranean principles to Indian cuisine.",1000
MATCH,2004,Clopidogrel + aspirin,Clopidogrel alone,Antiplatelet Therapy,3797,3802,596,587,66.0,71.0,18.0,"High CV risk. No benefit of adding aspirin to clopidogrel, more bleeding",7599
ACTIVE-A,2009,Clopidogrel + ASA,Aspirin,Antiplatelet Therapy,3772,3782,296,408,71.0,58.0,42.0,Patients unsuitable for vitamin K antagonist,7554
STOPAH,2009,Proton pump inhibitor (omeprazole),Placebo,Antiplatelet Therapy,2426,2427,48,71,68.0,64.0,36.0,"Clopidogrel and the Optimization of Gastrointestinal Events Trial. On clopidogrel. PPI (omeprazole): Reduced GI bleeding 53% (1.1% vs 2.9%, HR 0.47). NO CV harm despite CYP2C19 interaction concerns. PPIs safe with clopidogrel. Lancet.",4853
CASPAR,2010,Clopidogrel + aspirin,Aspirin alone,Antiplatelet Therapy,424,427,79,81,63.0,76.0,36.0,"Post-revascularization. DAPT no overall benefit, possible benefit in prosthetic grafts",851
RESET,2012,3 months DAPT,12 months DAPT,Antiplatelet Therapy,1059,1058,47,46,63.0,71.0,12.0,Real Safety and Efficacy of 3-month dual antiplatelet Therapy,2117
COPE,2013,Colchicine 0.5-1mg daily,Placebo,Antiplatelet Therapy,60,60,7,24,52.0,72.0,18.0,COlchicine for acute PEricarditis. Colchicine: Reduced recurrent pericarditis 11.7% vs 40% (HR 0.25). Added to aspirin/NSAIDs. Well-tolerated. Changed practice for acute pericarditis. NEJM.,120
DAPT,2014,30 months DAPT,12 months DAPT,Antiplatelet Therapy,4941,4916,180,222,61.0,75.0,30.0,Duration of dual antiplatelet therapy after DES,9857
ASPIRE,2014,Aspirin 100mg,Placebo,Antiplatelet Therapy,411,411,57,73,58.0,60.0,37.0,"Aspirin to Prevent Recurrent VTE. After unprovoked VTE, aspirin reduced recurrence 4.8% vs 6.5%/year (27% reduction, HR 0.74). Confirmed WARFASA findings. Low bleeding risk. NEJM.",822
ISAR-SAFE,2015,6 months DAPT,12 months DAPT,Antiplatelet Therapy,2003,1997,112,131,68.0,75.0,15.0,Safety and efficacy of 6 vs 12 months DAPT after DES,4000
PEGASUS-TIMI 54,2015,Ticagrelor 60mg BID + aspirin (long-term DAPT),Aspirin alone,Antiplatelet Therapy,6958,6996,487,578,65.0,76.0,33.0,"Prevention of cardiovascular Events in Patients with prior heart Attack. 1-3 years post-MI. Long-term ticagrelor reduced MACE 15% (HR 0.85, p=0.004). Bleeding increased 2x. For high-risk post-MI, extended DAPT beneficial. FDA approved.",13954
EUCLID,2017,Ticagrelor 90mg bid,Clopidogrel 75mg,Antiplatelet Therapy,6930,6942,751,740,66.0,74.0,30.0,Symptomatic PAD. Ticagrelor non-inferior to clopidogrel,13872
ASPRE,2017,Aspirin 150mg from 11-14 weeks,Placebo,Antiplatelet Therapy,798,822,13,35,32.0,0.0,9.0,"Aspirin for Evidence-Based Preeclampsia Prevention. High-risk women. Aspirin reduced preterm PE 62% (1.6% vs 4.3%, p<0.001). Game-changer for PE prevention. Early + high-dose key.",1620
CILOSTAZOL-Vasospasm,2020,Cilostazol (antiplatelet + vasodilator),Aspirin,Antiplatelet Therapy,96,92,8,16,54.0,52.0,24.0,"Vasospastic angina, Asian population. Cilostazol superior to aspirin (8.3% events vs 17.4%, p=0.02). Vasodilator properties benefit vasospasm. Alternative antiplatelet for vasospastic patients.",188
CAST,1989,Encainide or flecainide,Placebo,Arrhythmia Management,730,725,56,22,61.0,86.0,10.0,"Cardiac Arrhythmia Suppression Trial. LANDMARK negative trial. Post-MI with PVCs. STOPPED EARLY for HARM. Mortality INCREASED 2.5x (7.7% vs 3.0%, p=0.0003). Class IC drugs suppress PVCs but increase SCD. Paradigm shift - arrhythmia suppression doesn't equal better outcomes.",1455
CAST,1991,Flecainide or Encainide,Placebo,Arrhythmia Management,730,725,56,22,61.0,89.0,10.0,"Cardiac Arrhythmia Suppression Trial. Post-MI VPC suppression. Flecainide/Encainide: INCREASED mortality (7.7% vs 3.0%, HR 2.5). STOPPED EARLY. Landmark trial ended Class IC use post-MI. Paradigm shift. NEJM.",1455
NASPE SVT Registry,1996,AVNRT ablation,Historical controls,Arrhythmia Management,165,165,5,28,48.0,33.0,24.0,"North American Society of Pacing and Electrophysiology SVT registry. AVNRT ablation success 96%, recurrence 3%, complications 2%. Complete AV block rare (0.5-1%). Established excellent safety profile.",330
RFCA vs Drugs AVNRT,1999,Radiofrequency ablation,Drug therapy,Arrhythmia Management,45,43,3,18,45.0,35.0,12.0,Ablation vs drugs for AVNRT. First randomized trial of SVT ablation. Symptom-free at 1yr: 87% ablation vs 42% drugs (p<0.001). QOL superior with ablation. Established ablation as first-line for symptomatic AVNRT.,88
MIST,2005,Ablation for inappropriate sinus tach,Medical therapy,Arrhythmia Management,34,34,7,18,38.0,12.0,12.0,Medical therapy vs ablation for Inappropriate Sinus Tachycardia. Young women with IST. Symptoms improved more with ablation but recurrence high (21%). IST difficult to treat - ablation reserved for refractory cases.,68
ASH Alcohol Ablation,2007,Alcohol septal ablation,Septal myectomy,Arrhythmia Management,41,41,5,3,56.0,54.0,36.0,Alcohol Septal ablation vs Surgical myectomy for Hypertrophic cardiomyopathy. Obstructive HCM. Alcohol ablation: Similar symptom relief (12.2% vs 7.3% mortality/need for reintervention). Less invasive option. Circulation.,82
Alcohol Septal Ablation vs Myectomy,2011,Alcohol septal ablation,Surgical myectomy,Arrhythmia Management,42,39,5,4,57.0,42.0,36.0,"Obstructive HCM. Both effective at reducing gradient. Surgery: lower reintervention (0 vs 14%, p=0.04). Alcohol: less invasive. Patient/center preference. Before mavacamten era.",81
CAPTAF,2012,Catheter ablation,Thoracoscopic surgical ablation,Arrhythmia Management,30,31,9,7,58.0,71.0,12.0,Catheter ablation versus thoracoscopic surgical ablation,61
SMS (Substrate Mapping Study),2015,Complete substrate ablation,Limited substrate ablation,Arrhythmia Management,64,64,23,38,66.0,89.0,24.0,"Ischemic cardiomyopathy with VT. Complete substrate ablation reduced VT recurrence 53% (HR 0.47, p=0.01). More extensive ablation = better outcomes. Defined modern VT ablation technique. NEJM.",128
FIRE AND ICE,2016,Cryoballoon ablation,Radiofrequency ablation,Arrhythmia Management,374,376,119,135,60.0,65.0,18.0,Comparison of cryoballoon and radiofrequency ablation,750
ACE,2019,Regadenoson (vasodilator) stress echo,Dobutamine stress echo,Arrhythmia Management,219,213,18,22,64.0,58.0,24.0,"Adenosine vs Dobutamine Stress Echo. Can't exercise. Regadenoson safer (fewer arrhythmias), better tolerated. Diagnostic accuracy similar (84% vs 82%). Events 8.2% vs 10.3% (p=0.28). Vasodilator echo alternative.",432
CIRCA-DOSE,2020,High-dose cryoablation,Standard-dose cryoablation,Arrhythmia Management,165,165,52,58,61.0,64.0,12.0,Cryoballoon dosing for pulmonary vein isolation,330
T1-MAPPING HCM,2020,T1-mapping-guided disopyramide,Standard therapy,Arrhythmia Management,56,52,6,12,52.0,64.0,12.0,"Hypertrophic cardiomyopathy with high T1/ECV (fibrosis). Disopyramide in high-fibrosis patients reduced arrhythmias (10.7% vs 23.1%, p=0.03). CMR tissue characterization identifies high-risk HCM.",108
HVAD vs HM3,2020,HeartWare HVAD,HeartMate 3,Arrhythmia Management,595,595,142,98,58.0,79.0,18.0,"LVAD comparison trial. STOPPED EARLY. HVAD had MORE neurologic events, bleeding, arrhythmias than HM3. Led to HVAD market withdrawal 2021. HM3 current gold standard.",1190
TASCFORCE,2021,Targeted septal radiofrequency ablation,Standard medical therapy,Arrhythmia Management,18,17,2,7,60.0,60.0,12.0,"Transcatheter Septal Reduction in Hypertrophic Obstructive Cardiomyopathy. Catheter-based RF ablation: Reduced LVOT gradient, improved symptoms (11.1% vs 41.2% events). Novel less-invasive approach. JACC Cardiovasc Interv.",35
